year,date,event,type,control_policy
2023,"May 7, 2023, Sunday",Rabindranath Tagore Jayanti,Govt,NORMAL
2023,"May 14, 2023, Sunday",Mother's Day,Modern,NORMAL
2023,"May 22, 2023, Monday",Maharana Pratap Jayanti,Hindu,NORMAL
2023,"May 31, 2023, Wednesday",World No Tobacco Day,Modern,NORMAL
2023,"June 4, 2023, Sunday",Kabirdas Jayanti,Hindu,NORMAL
2023,"June 5, 2023, Monday",World Environment Day,Modern,NORMAL
2023,"June 18, 2023, Sunday",Father's Day,Modern,NORMAL
2023,"June 20, 2023, Tuesday",Jagannath Rathyatra,Hindu,NORMAL
2023,"June 21, 2023, Wednesday",International Yoga Day,Modern,NORMAL
2023,"June 21, 2023, Wednesday",Longest Day of Year,Hindu,NORMAL
2023,"June 29, 2023, Thursday",Bakrid,Islamic,NORMAL
2023,"June 29, 2023, Thursday",Eid al-Adha,Islamic,NORMAL
2023,"July 3, 2023, Monday",Guru Purnima,Hindu,NORMAL
2023,"July 19, 2023, Wednesday",Islamic New Year,Islamic,NORMAL
2023,"July 19, 2023, Wednesday",Al-Hijra,Islamic,NORMAL
2023,"July 28, 2023, Friday",Day of Ashura,Islamic,NORMAL
2023,"July 28, 2023, Friday",Muharram,Islamic,NORMAL
2023,"August 6, 2023, Sunday",Friendship Day,Modern,NORMAL
2023,"August 15, 2023, Tuesday",Independence Day,Govt,NORMAL
2023,"August 23, 2023, Wednesday",Tulsidas Jayanti,Hindu,NORMAL
2023,"August 29, 2023, Tuesday",Onam,Hindu,NORMAL
2023,"August 30, 2023, Wednesday",Rakhi,Hindu,NORMAL
2023,"August 30, 2023, Wednesday",Raksha Bandhan,Hindu,NORMAL
2023,"September 5, 2023, Tuesday",Teachers' Day,Modern,NORMAL
2023,"September 6, 2023, Wednesday",Janmashtami *Smarta,Hindu,NORMAL
2023,"September 7, 2023, Thursday",Janmashtami *ISKCON,Hindu,NORMAL
2023,"September 14, 2023, Thursday",Hindi Diwas,Modern,NORMAL
2023,"September 15, 2023, Friday",Engineer's Day,Modern,NORMAL
2023,"September 15, 2023, Friday",Visvesvaraya Jayanti,Govt,NORMAL
2023,"September 19, 2023, Tuesday",Ganesh Chaturthi,Hindu,NORMAL
2023,"September 23, 2023, Saturday",Autumnal Equinox,Hindu,NORMAL
2023,"September 27, 2023, Wednesday",Eid-e-Milad,Islamic,NORMAL
2023,"September 27, 2023, Wednesday",Milad un-Nabi,Islamic,NORMAL
2023,"October 2, 2023, Monday",Gandhi Jayanti,Govt,NORMAL
2023,"October 15, 2023, Sunday",Maharaja Agrasen Jayanti,Hindu,NORMAL
2023,"October 22, 2023, Sunday",Durga Ashtami,Hindu,NORMAL
2023,"October 23, 2023, Monday",Maha Navami,Hindu,NORMAL
2023,"October 24, 2023, Tuesday",Dussehra,Hindu,NORMAL
2023,"October 24, 2023, Tuesday",Madhvacharya Jayanti,Hindu,NORMAL
2023,"October 28, 2023, Saturday",Valmiki Jayanti,Hindu,NORMAL
2023,"October 28, 2023, Saturday",Meerabai Jayanti,Hindu,NORMAL
2023,"November 1, 2023, Wednesday",Karwa Chauth,Hindu,NORMAL
2023,"November 12, 2023, Sunday",Diwali,Hindu,NORMAL
2023,"November 12, 2023, Sunday",Narak Chaturdashi,Hindu,NORMAL
2023,"November 12, 2023, Sunday",Lakshmi Puja,Hindu,NORMAL
2023,"November 14, 2023, Tuesday",Govardhan Puja,Hindu,NORMAL
2023,"November 14, 2023, Tuesday",Children's Day,Modern,NORMAL
2023,"November 14, 2023, Tuesday",Nehru Jayanti,Govt,NORMAL
2023,"November 14, 2023, Tuesday",Bhaiya Dooj,Hindu,NORMAL
2023,"November 19, 2023, Sunday",Chhath Puja,Hindu,NORMAL
2023,"November 27, 2023, Monday",Guru Nanak Jayanti,Hindu,NORMAL
2023,"December 1, 2023, Friday",World AIDS Day,Modern,NORMAL
2023,"December 22, 2023, Friday",Shortest Day of Year,Hindu,NORMAL
2023,"December 25, 2023, Monday",Merry Christmas,Christian,NORMAL
2024,"January 1, 2024, Monday",English New Year,Christian,NORMAL
2024,"January 12, 2024, Friday",National Youth Day,Modern,NORMAL
2024,"January 12, 2024, Friday",Swami Vivekananda Jayanti,Govt,NORMAL
2024,"January 14, 2024, Sunday",Lohri,Sikh,NORMAL
2024,"January 15, 2024, Monday",Makara Sankranti,Hindu,NORMAL
2024,"January 15, 2024, Monday",Pongal,Hindu,NORMAL
2024,"January 17, 2024, Wednesday",Guru Gobind Singh Jayanti,Hindu,NORMAL
2024,"January 21, 2024, Sunday",Tailang Swami Jayanti,Hindu,NORMAL
2024,"January 23, 2024, Tuesday",Subhas Chandra Bose Jayanti,Govt,NORMAL
2024,"January 24, 2024, Wednesday",Hazarat Ali's Birthday,Islamic,NORMAL
2024,"January 26, 2024, Friday",Republic Day,Govt,NORMAL
2024,"January 30, 2024, Tuesday",Gandhi Punyatithi,Govt,NORMAL
2024,"February 2, 2024, Friday",Vivekananda Jayanti *Samvat,Hindu,NORMAL
2024,"February 4, 2024, Sunday",World Cancer Day,Modern,NORMAL
2024,"February 14, 2024, Wednesday",Vasant Panchami,Hindu,NORMAL
2024,"February 14, 2024, Wednesday",Valentine's Day,Modern,NORMAL
2024,"February 19, 2024, Monday",Chhatrapati Shivaji Maharaj Jayanti,Govt,NORMAL
2024,"February 24, 2024, Saturday",Guru Ravidas Jayanti,Hindu,NORMAL
2024,"March 5, 2024, Tuesday",Maharishi Dayanand Saraswati Jayanti,Hindu,NORMAL
2024,"March 8, 2024, Friday",International Women's Day,Modern,NORMAL
2024,"March 8, 2024, Friday",Maha Shivaratri,Hindu,NORMAL
2024,"March 12, 2024, Tuesday",Ramakrishna Jayanti,Hindu,NORMAL
2024,"March 20, 2024, Wednesday",Vernal Equinox,Hindu,NORMAL
2024,"March 20, 2024, Wednesday",Parsi New Year,Hindu,NORMAL
2024,"March 23, 2024, Saturday",Shaheed Diwas,Govt,NORMAL
2024,"March 24, 2024, Sunday",Chhoti Holi,Hindu,NORMAL
2024,"March 24, 2024, Sunday",Holika Dahan,Hindu,NORMAL
2024,"March 25, 2024, Monday",Holi,Hindu,NORMAL
2024,"March 25, 2024, Monday",Chaitanya Mahaprabhu Jayanti,Hindu,NORMAL
2024,"March 28, 2024, Thursday",Chhatrapati Shivaji Maharaj Jayanti,Hindu,NORMAL
2024,"March 29, 2024, Friday",Good Friday,Christian,NORMAL
2024,"March 30, 2024, Saturday",Rang Panchami,Hindu,RANG_PANCHAMI
2024,"March 31, 2024, Sunday",Easter,Christian,NORMAL
2024,"April 1, 2024, Monday",Bank's Holiday,Govt,NORMAL
2024,"April 5, 2024, Friday",Jamat Ul-Vida,Islamic,NORMAL
2024,"April 9, 2024, Tuesday",Jhulelal Jayanti,Hindu,NORMAL
2024,"April 9, 2024, Tuesday",Ugadi,Hindu,NORMAL
2024,"April 9, 2024, Tuesday",Gudi Padwa,Hindu,NORMAL
2024,"April 10, 2024, Wednesday",Eid al-Fitr,Islamic,NORMAL
2024,"April 10, 2024, Wednesday",Ramadan,Islamic,NORMAL
2024,"April 13, 2024, Saturday",Baisakhi,Sikh,NORMAL
2024,"April 13, 2024, Saturday",Solar New Year,Hindu,NORMAL
2024,"April 14, 2024, Sunday",Ambedkar Jayanti,Govt,NORMAL
2024,"April 17, 2024, Wednesday",Rama Navami,Hindu,NORMAL
2024,"April 21, 2024, Sunday",Mahavir Swami Jayanti,Hindu,NORMAL
2024,"April 22, 2024, Monday",Earth Day,Modern,NORMAL
2024,"May 1, 2024, Wednesday",International Workers' Day,Modern,NORMAL
2024,"May 4, 2024, Saturday",Vallabhacharya Jayanti,Hindu,NORMAL
2024,"May 5, 2024, Sunday",World Laughter Day,Modern,NORMAL
2024,"May 7, 2024, Tuesday",Rabindranath Tagore Jayanti,Govt,NORMAL
2024,"May 12, 2024, Sunday",Shankaracharya Jayanti,Hindu,NORMAL
2024,"May 12, 2024, Sunday",Mother's Day,Modern,NORMAL
2024,"May 12, 2024, Sunday",Surdas Jayanti,Hindu,NORMAL
2024,"May 23, 2024, Thursday",Buddha Purnima,Hindu,NORMAL
2024,"May 31, 2024, Friday",World No Tobacco Day,Modern,NORMAL
2024,"June 5, 2024, Wednesday",World Environment Day,Modern,NORMAL
2024,"June 9, 2024, Sunday",Maharana Pratap Jayanti,Hindu,NORMAL
2024,"June 16, 2024, Sunday",Father's Day,Modern,NORMAL
2024,"June 17, 2024, Monday",Eid al-Adha,Islamic,NORMAL
2024,"June 17, 2024, Monday",Bakrid,Islamic,NORMAL
2024,"June 21, 2024, Friday",International Yoga Day,Modern,NORMAL
2024,"June 21, 2024, Friday",Longest Day of Year,Hindu,NORMAL
2024,"June 22, 2024, Saturday",Kabirdas Jayanti,Hindu,NORMAL
2024,"July 7, 2024, Sunday",Jagannath Rathyatra,Hindu,NORMAL
2024,"July 8, 2024, Monday",Islamic New Year,Islamic,NORMAL
2024,"July 8, 2024, Monday",Al-Hijra,Islamic,NORMAL
2024,"July 17, 2024, Wednesday",Muharram,Islamic,NORMAL
2024,"July 17, 2024, Wednesday",Day of Ashura,Islamic,NORMAL
2024,"July 21, 2024, Sunday",Guru Purnima,Hindu,NORMAL
2024,"August 4, 2024, Sunday",Friendship Day,Modern,NORMAL
2024,"August 11, 2024, Sunday",Tulsidas Jayanti,Hindu,NORMAL
2024,"August 15, 2024, Thursday",Independence Day,Govt,NORMAL
2024,"August 19, 2024, Monday",Raksha Bandhan,Hindu,NORMAL
2024,"August 19, 2024, Monday",Rakhi,Hindu,NORMAL
2024,"August 26, 2024, Monday",Krishna Janmashtami,Hindu,NORMAL
2024,"September 5, 2024, Thursday",Teachers' Day,Modern,NORMAL
2024,"September 7, 2024, Saturday",Ganesh Chaturthi,Hindu,NORMAL
2024,"September 14, 2024, Saturday",Hindi Diwas,Modern,NORMAL
2024,"September 15, 2024, Sunday",Engineer's Day,Modern,NORMAL
2024,"September 15, 2024, Sunday",Visvesvaraya Jayanti,Govt,NORMAL
2024,"September 15, 2024, Sunday",Onam,Hindu,NORMAL
2024,"September 16, 2024, Monday",Eid-e-Milad,Islamic,NORMAL
2024,"September 16, 2024, Monday",Milad un-Nabi,Islamic,NORMAL
2024,"September 22, 2024, Sunday",Autumnal Equinox,Hindu,NORMAL
2024,"October 2, 2024, Wednesday",Gandhi Jayanti,Govt,NORMAL
2024,"October 3, 2024, Thursday",Maharaja Agrasen Jayanti,Hindu,NORMAL
2024,"October 11, 2024, Friday",Maha Navami,Hindu,NORMAL
2024,"October 11, 2024, Friday",Durga Ashtami,Hindu,NORMAL
2024,"October 12, 2024, Saturday",Dussehra,Hindu,NORMAL
2024,"October 13, 2024, Sunday",Madhvacharya Jayanti,Hindu,NORMAL
2024,"October 17, 2024, Thursday",Valmiki Jayanti,Hindu,NORMAL
2024,"October 17, 2024, Thursday",Meerabai Jayanti,Hindu,NORMAL
2024,"October 20, 2024, Sunday",Karwa Chauth,Hindu,NORMAL
2024,"October 31, 2024, Thursday",Narak Chaturdashi,Hindu,NORMAL
2024,"November 1, 2024, Friday",Lakshmi Puja,Hindu,NORMAL
2024,"November 1, 2024, Friday",Diwali,Hindu,NORMAL
2024,"November 2, 2024, Saturday",Govardhan Puja,Hindu,NORMAL
2024,"November 3, 2024, Sunday",Bhaiya Dooj,Hindu,NORMAL
2024,"November 7, 2024, Thursday",Chhath Puja,Hindu,NORMAL
2024,"November 14, 2024, Thursday",Children's Day,Modern,NORMAL
2024,"November 14, 2024, Thursday",Nehru Jayanti,Govt,NORMAL
2024,"November 15, 2024, Friday",Guru Nanak Jayanti,Hindu,NORMAL
2024,"December 1, 2024, Sunday",World AIDS Day,Modern,NORMAL
2024,"December 21, 2024, Saturday",Shortest Day of Year,Hindu,NORMAL
2024,"December 25, 2024, Wednesday",Merry Christmas,Christian,NORMAL
2025,"January 1, 2025, Wednesday",English New Year,Christian,NORMAL
2025,"January 6, 2025, Monday",Guru Gobind Singh Jayanti,Hindu,NORMAL
2025,"January 10, 2025, Friday",Tailang Swami Jayanti,Hindu,NORMAL
2025,"January 12, 2025, Sunday",Swami Vivekananda Jayanti,Govt,NORMAL
2025,"January 12, 2025, Sunday",National Youth Day,Modern,NORMAL
2025,"January 13, 2025, Monday",Lohri,Sikh,NORMAL
2025,"January 13, 2025, Monday",Hazarat Ali's Birthday,Islamic,NORMAL
2025,"January 14, 2025, Tuesday",Makara Sankranti,Hindu,NORMAL
2025,"January 14, 2025, Tuesday",Pongal,Hindu,NORMAL
2025,"January 21, 2025, Tuesday",Vivekananda Jayanti *Samvat,Hindu,NORMAL
2025,"January 23, 2025, Thursday",Subhas Chandra Bose Jayanti,Govt,NORMAL
2025,"January 26, 2025, Sunday",Republic Day,Govt,NORMAL
2025,"January 30, 2025, Thursday",Gandhi Punyatithi,Govt,NORMAL
2025,"February 2, 2025, Sunday",Vasant Panchami,Hindu,NORMAL
2025,"February 4, 2025, Tuesday",World Cancer Day,Modern,NORMAL
2025,"February 12, 2025, Wednesday",Guru Ravidas Jayanti,Hindu,NORMAL
2025,"February 14, 2025, Friday",Valentine's Day,Modern,NORMAL
2025,"February 19, 2025, Wednesday",Chhatrapati Shivaji Maharaj Jayanti,Govt,NORMAL
2025,"February 23, 2025, Sunday",Maharishi Dayanand Saraswati Jayanti,Hindu,NORMAL
2025,"February 26, 2025, Wednesday",Maha Shivaratri,Hindu,NORMAL
2025,"March 1, 2025, Saturday",Ramakrishna Jayanti,Hindu,NORMAL
2025,"March 8, 2025, Saturday",International Women's Day,Modern,NORMAL
2025,"March 13, 2025, Thursday",Chhoti Holi,Hindu,NORMAL
2025,"March 13, 2025, Thursday",Holika Dahan,Hindu,NORMAL
2025,"March 14, 2025, Friday",Holi,Hindu,NORMAL
2025,"March 14, 2025, Friday",Chaitanya Mahaprabhu Jayanti,Hindu,NORMAL
2025,"March 17, 2025, Monday",Chhatrapati Shivaji Maharaj Jayanti,Hindu,NORMAL
2025,"March 19, 2025, Wednesday",Rang Panchami,Hindu,RANG_PANCHAMI
2025,"March 20, 2025, Thursday",Parsi New Year,Hindu,NORMAL
2025,"March 20, 2025, Thursday",Vernal Equinox,Hindu,NORMAL
2025,"March 23, 2025, Sunday",Shaheed Diwas,Govt,NORMAL
2025,"March 28, 2025, Friday",Jamat Ul-Vida,Islamic,NORMAL
2025,"March 30, 2025, Sunday",Jhulelal Jayanti,Hindu,NORMAL
2025,"March 30, 2025, Sunday",Gudi Padwa,Hindu,NORMAL
2025,"March 30, 2025, Sunday",Ugadi,Hindu,NORMAL
2025,"March 31, 2025, Monday",Eid al-Fitr,Islamic,NORMAL
2025,"March 31, 2025, Monday",Ramadan,Islamic,NORMAL
2025,"April 1, 2025, Tuesday",Bank's Holiday,Govt,NORMAL
2025,"April 6, 2025, Sunday",Rama Navami,Hindu,NORMAL
2025,"April 10, 2025, Thursday",Mahavir Swami Jayanti,Hindu,NORMAL
2025,"April 14, 2025, Monday",Ambedkar Jayanti,Govt,NORMAL
2025,"April 14, 2025, Monday",Solar New Year,Hindu,NORMAL
2025,"April 14, 2025, Monday",Baisakhi,Sikh,NORMAL
2025,"April 18, 2025, Friday",Good Friday,Christian,NORMAL
2025,"April 20, 2025, Sunday",Easter,Christian,NORMAL
2025,"April 22, 2025, Tuesday",Earth Day,Modern,NORMAL
2025,"April 24, 2025, Thursday",Vallabhacharya Jayanti,Hindu,NORMAL
2025,"May 1, 2025, Thursday",International Workers' Day,Modern,NORMAL
2025,"May 2, 2025, Friday",Surdas Jayanti,Hindu,NORMAL
2025,"May 2, 2025, Friday",Shankaracharya Jayanti,Hindu,NORMAL
2025,"May 4, 2025, Sunday",World Laughter Day,Modern,NORMAL
2025,"May 7, 2025, Wednesday",Rabindranath Tagore Jayanti,Govt,NORMAL
2025,"May 11, 2025, Sunday",Mother's Day,Modern,NORMAL
2025,"May 12, 2025, Monday",Buddha Purnima,Hindu,NORMAL
2025,"May 29, 2025, Thursday",Maharana Pratap Jayanti,Hindu,NORMAL
2025,"May 31, 2025, Saturday",World No Tobacco Day,Modern,NORMAL
2025,"June 5, 2025, Thursday",World Environment Day,Modern,NORMAL
2025,"June 7, 2025, Saturday",Bakrid,Islamic,NORMAL
2025,"June 7, 2025, Saturday",Eid al-Adha,Islamic,NORMAL
2025,"June 11, 2025, Wednesday",Kabirdas Jayanti,Hindu,NORMAL
2025,"June 15, 2025, Sunday",Father's Day,Modern,NORMAL
2025,"June 21, 2025, Saturday",Longest Day of Year,Hindu,NORMAL
2025,"June 21, 2025, Saturday",International Yoga Day,Modern,NORMAL
2025,"June 27, 2025, Friday",Jagannath Rathyatra,Hindu,NORMAL
2025,"June 27, 2025, Friday",Al-Hijra,Islamic,NORMAL
2025,"June 27, 2025, Friday",Islamic New Year,Islamic,NORMAL
2025,"July 6, 2025, Sunday",Muharram,Islamic,NORMAL
2025,"July 6, 2025, Sunday",Day of Ashura,Islamic,NORMAL
2025,"July 10, 2025, Thursday",Guru Purnima,Hindu,NORMAL
2025,"July 31, 2025, Thursday",Tulsidas Jayanti,Hindu,NORMAL
2025,"August 3, 2025, Sunday",Friendship Day,Modern,NORMAL
2025,"August 9, 2025, Saturday",Rakhi,Hindu,NORMAL
2025,"August 9, 2025, Saturday",Raksha Bandhan,Hindu,NORMAL
2025,"August 15, 2025, Friday",Independence Day,Govt,NORMAL
2025,"August 15, 2025, Friday",Janmashtami *Smarta,Hindu,NORMAL
2025,"August 16, 2025, Saturday",Janmashtami *ISKCON,Hindu,NORMAL
2025,"August 27, 2025, Wednesday",Ganesh Chaturthi,Hindu,NORMAL
2025,"September 5, 2025, Friday",Teachers' Day,Modern,NORMAL
2025,"September 5, 2025, Friday",Eid-e-Milad,Islamic,NORMAL
2025,"September 5, 2025, Friday",Milad un-Nabi,Islamic,NORMAL
2025,"September 5, 2025, Friday",Onam,Hindu,NORMAL
2025,"September 14, 2025, Sunday",Hindi Diwas,Modern,NORMAL
2025,"September 15, 2025, Monday",Engineer's Day,Modern,NORMAL
2025,"September 15, 2025, Monday",Visvesvaraya Jayanti,Govt,NORMAL
2025,"September 22, 2025, Monday",Autumnal Equinox,Hindu,NORMAL
2025,"September 22, 2025, Monday",Maharaja Agrasen Jayanti,Hindu,NORMAL
2025,"September 30, 2025, Tuesday",Durga Ashtami,Hindu,NORMAL
2025,"October 1, 2025, Wednesday",Maha Navami,Hindu,NORMAL
2025,"October 2, 2025, Thursday",Gandhi Jayanti,Govt,NORMAL
2025,"October 2, 2025, Thursday",Dussehra,Hindu,NORMAL
2025,"October 2, 2025, Thursday",Madhvacharya Jayanti,Hindu,NORMAL
2025,"October 7, 2025, Tuesday",Meerabai Jayanti,Hindu,NORMAL
2025,"October 7, 2025, Tuesday",Valmiki Jayanti,Hindu,NORMAL
2025,"October 10, 2025, Friday",Karwa Chauth,Hindu,NORMAL
2025,"October 20, 2025, Monday",Diwali,Hindu,NORMAL
2025,"October 20, 2025, Monday",Narak Chaturdashi,Hindu,NORMAL
2025,"October 20, 2025, Monday",Lakshmi Puja,Hindu,NORMAL
2025,"October 22, 2025, Wednesday",Govardhan Puja,Hindu,NORMAL
2025,"October 23, 2025, Thursday",Bhaiya Dooj,Hindu,NORMAL
2025,"October 27, 2025, Monday",Chhath Puja,Hindu,NORMAL
2025,"November 5, 2025, Wednesday",Guru Nanak Jayanti,Hindu,NORMAL
2025,"November 14, 2025, Friday",Children's Day,Modern,NORMAL
2025,"November 14, 2025, Friday",Nehru Jayanti,Govt,NORMAL
2025,"December 1, 2025, Monday",World AIDS Day,Modern,NORMAL
2025,"December 21, 2025, Sunday",Shortest Day of Year,Hindu,NORMAL
2025,"December 25, 2025, Thursday",Merry Christmas,Christian,NORMAL
2025,"December 27, 2025, Saturday",Guru Gobind Singh Jayanti,Hindu,NORMAL
2025,"December 30, 2025, Tuesday",Tailang Swami Jayanti,Hindu,NORMAL
2026,"January 1, 2026, Thursday",English New Year,Christian,NORMAL
2026,"January 2, 2026, Friday",Hazarat Ali's Birthday,Islamic,NORMAL
2026,"January 9, 2026, Friday",Vivekananda Jayanti *Samvat,Hindu,NORMAL
2026,"January 12, 2026, Monday",Swami Vivekananda Jayanti,Govt,NORMAL
2026,"January 12, 2026, Monday",National Youth Day,Modern,NORMAL
2026,"January 13, 2026, Tuesday",Lohri,Sikh,NORMAL
2026,"January 14, 2026, Wednesday",Pongal,Hindu,NORMAL
2026,"January 14, 2026, Wednesday",Makara Sankranti,Hindu,NORMAL
2026,"January 23, 2026, Friday",Subhas Chandra Bose Jayanti,Govt,NORMAL
2026,"January 23, 2026, Friday",Vasant Panchami,Hindu,NORMAL
2026,"January 26, 2026, Monday",Republic Day,Govt,NORMAL
2026,"January 30, 2026, Friday",Gandhi Punyatithi,Govt,NORMAL
2026,"February 1, 2026, Sunday",Guru Ravidas Jayanti,Hindu,NORMAL
2026,"February 4, 2026, Wednesday",World Cancer Day,Modern,NORMAL
2026,"February 12, 2026, Thursday",Maharishi Dayanand Saraswati Jayanti,Hindu,NORMAL
2026,"February 14, 2026, Saturday",Valentine's Day,Modern,NORMAL
2026,"February 15, 2026, Sunday",Maha Shivaratri,Hindu,NORMAL
2026,"February 19, 2026, Thursday",Chhatrapati Shivaji Maharaj Jayanti,Govt,NORMAL
2026,"February 19, 2026, Thursday",Ramakrishna Jayanti,Hindu,NORMAL
2026,"March 3, 2026, Tuesday",Holika Dahan,Hindu,NORMAL
2026,"March 3, 2026, Tuesday",Chaitanya Mahaprabhu Jayanti,Hindu,NORMAL
2026,"March 3, 2026, Tuesday",Chhoti Holi,Hindu,NORMAL
2026,"March 4, 2026, Wednesday",Holi,Hindu,NORMAL
2026,"March 6, 2026, Friday",Chhatrapati Shivaji Maharaj Jayanti,Hindu,NORMAL
2026,"March 8, 2026, Sunday",Rang Panchami,Hindu,RANG_PANCHAMI
2026,"March 8, 2026, Sunday",International Women's Day,Modern,NORMAL
2026,"March 19, 2026, Thursday",Ugadi,Hindu,NORMAL
2026,"March 19, 2026, Thursday",Gudi Padwa,Hindu,NORMAL
2026,"March 20, 2026, Friday",Eid al-Fitr,Islamic,NORMAL
2026,"March 20, 2026, Friday",Jhulelal Jayanti,Hindu,NORMAL
2026,"March 20, 2026, Friday",Vernal Equinox,Hindu,NORMAL
2026,"March 20, 2026, Friday",Jamat Ul-Vida,Islamic,NORMAL
2026,"March 20, 2026, Friday",Parsi New Year,Hindu,NORMAL
2026,"March 20, 2026, Friday",Ramadan,Islamic,NORMAL
2026,"March 23, 2026, Monday",Shaheed Diwas,Govt,NORMAL
2026,"March 26, 2026, Thursday",Rama Navami *Smarta,Hindu,NORMAL
2026,"March 27, 2026, Friday",Rama Navami *ISKCON,Hindu,NORMAL
2026,"March 31, 2026, Tuesday",Mahavir Swami Jayanti,Hindu,NORMAL
2026,"April 1, 2026, Wednesday",Bank's Holiday,Govt,NORMAL
2026,"April 3, 2026, Friday",Good Friday,Christian,NORMAL
2026,"April 5, 2026, Sunday",Easter,Christian,NORMAL
2026,"April 13, 2026, Monday",Vallabhacharya Jayanti,Hindu,NORMAL
2026,"April 14, 2026, Tuesday",Baisakhi,Sikh,NORMAL
2026,"April 14, 2026, Tuesday",Solar New Year,Hindu,NORMAL
2026,"April 14, 2026, Tuesday",Ambedkar Jayanti,Govt,NORMAL
2026,"April 21, 2026, Tuesday",Surdas Jayanti,Hindu,NORMAL
2026,"April 21, 2026, Tuesday",Shankaracharya Jayanti,Hindu,NORMAL
2026,"April 22, 2026, Wednesday",Earth Day,Modern,NORMAL
2026,"May 1, 2026, Friday",International Workers' Day,Modern,NORMAL
2026,"May 1, 2026, Friday",Buddha Purnima,Hindu,NORMAL
2026,"May 3, 2026, Sunday",World Laughter Day,Modern,NORMAL
2026,"May 7, 2026, Thursday",Rabindranath Tagore Jayanti,Govt,NORMAL
2026,"May 10, 2026, Sunday",Mother's Day,Modern,NORMAL
2026,"May 27, 2026, Wednesday",Bakrid,Islamic,NORMAL
2026,"May 27, 2026, Wednesday",Eid al-Adha,Islamic,NORMAL
2026,"May 31, 2026, Sunday",World No Tobacco Day,Modern,NORMAL
2026,"June 5, 2026, Friday",World Environment Day,Modern,NORMAL
2026,"June 17, 2026, Wednesday",Al-Hijra,Islamic,NORMAL
2026,"June 17, 2026, Wednesday",Maharana Pratap Jayanti,Hindu,NORMAL
2026,"June 17, 2026, Wednesday",Islamic New Year,Islamic,NORMAL
2026,"June 21, 2026, Sunday",International Yoga Day,Modern,NORMAL
2026,"June 21, 2026, Sunday",Father's Day,Modern,NORMAL
2026,"June 21, 2026, Sunday",Longest Day of Year,Hindu,NORMAL
2026,"June 26, 2026, Friday",Muharram,Islamic,NORMAL
2026,"June 26, 2026, Friday",Day of Ashura,Islamic,NORMAL
2026,"June 29, 2026, Monday",Kabirdas Jayanti,Hindu,NORMAL
2026,"July 16, 2026, Thursday",Jagannath Rathyatra,Hindu,NORMAL
2026,"July 29, 2026, Wednesday",Guru Purnima,Hindu,NORMAL
2026,"August 2, 2026, Sunday",Friendship Day,Modern,NORMAL
2026,"August 15, 2026, Saturday",Independence Day,Govt,NORMAL
2026,"August 19, 2026, Wednesday",Tulsidas Jayanti,Hindu,NORMAL
2026,"August 26, 2026, Wednesday",Onam,Hindu,NORMAL
2026,"August 26, 2026, Wednesday",Milad un-Nabi,Islamic,NORMAL
2026,"August 26, 2026, Wednesday",Eid-e-Milad,Islamic,NORMAL
2026,"August 28, 2026, Friday",Rakhi,Hindu,NORMAL
2026,"August 28, 2026, Friday",Raksha Bandhan,Hindu,NORMAL
2026,"September 4, 2026, Friday",Krishna Janmashtami,Hindu,NORMAL
2026,"September 5, 2026, Saturday",Teachers' Day,Modern,NORMAL
2026,"September 14, 2026, Monday",Hindi Diwas,Modern,NORMAL
2026,"September 14, 2026, Monday",Ganesh Chaturthi,Hindu,NORMAL
2026,"September 15, 2026, Tuesday",Visvesvaraya Jayanti,Govt,NORMAL
2026,"September 15, 2026, Tuesday",Engineer's Day,Modern,NORMAL
2026,"September 23, 2026, Wednesday",Autumnal Equinox,Hindu,NORMAL
2026,"October 2, 2026, Friday",Gandhi Jayanti,Govt,NORMAL
2026,"October 11, 2026, Sunday",Maharaja Agrasen Jayanti,Hindu,NORMAL
2026,"October 19, 2026, Monday",Maha Navami,Hindu,NORMAL
2026,"October 19, 2026, Monday",Durga Ashtami,Hindu,NORMAL
2026,"October 20, 2026, Tuesday",Dussehra,Hindu,NORMAL
2026,"October 21, 2026, Wednesday",Madhvacharya Jayanti,Hindu,NORMAL
2026,"October 26, 2026, Monday",Valmiki Jayanti,Hindu,NORMAL
2026,"October 26, 2026, Monday",Meerabai Jayanti,Hindu,NORMAL
2026,"October 29, 2026, Thursday",Karwa Chauth,Hindu,NORMAL
2026,"November 8, 2026, Sunday",Narak Chaturdashi,Hindu,NORMAL
2026,"November 8, 2026, Sunday",Lakshmi Puja,Hindu,NORMAL
2026,"November 8, 2026, Sunday",Diwali,Hindu,NORMAL
2026,"November 10, 2026, Tuesday",Govardhan Puja,Hindu,NORMAL
2026,"November 11, 2026, Wednesday",Bhaiya Dooj,Hindu,NORMAL
2026,"November 14, 2026, Saturday",Children's Day,Modern,NORMAL
2026,"November 14, 2026, Saturday",Nehru Jayanti,Govt,NORMAL
2026,"November 15, 2026, Sunday",Chhath Puja,Hindu,NORMAL
2026,"November 24, 2026, Tuesday",Guru Nanak Jayanti,Hindu,NORMAL
2026,"December 1, 2026, Tuesday",World AIDS Day,Modern,NORMAL
2026,"December 22, 2026, Tuesday",Shortest Day of Year,Hindu,NORMAL
2026,"December 23, 2026, Wednesday",Hazarat Ali's Birthday,Islamic,NORMAL
2026,"December 25, 2026, Friday",Merry Christmas,Christian,NORMAL
2027,"January 1, 2027, Friday",English New Year,Christian,NORMAL
