timestamp,packet,voltage_V,pressure_kPa,pressure_MPa,status
2026-04-21T13:45:38.155190,0,2.053,38.82,0.0388,ok
2026-04-21T13:45:39.341829,1,2.05,38.75,0.0387,ok
2026-04-21T13:45:40.527587,2,2.052,38.8,0.0388,ok
2026-04-21T13:45:41.713337,3,2.05,38.75,0.0387,ok
2026-04-21T13:45:42.899727,4,2.048,38.7,0.0387,ok
2026-04-21T13:45:44.085961,5,2.052,38.8,0.0388,ok
2026-04-21T13:45:45.271494,6,2.051,38.78,0.0388,ok
2026-04-21T13:45:46.457510,7,2.051,38.78,0.0388,ok
2026-04-21T13:45:47.643592,8,2.049,38.73,0.0387,ok
2026-04-21T13:45:48.829702,9,2.048,38.7,0.0387,ok
2026-04-21T13:45:50.015755,10,2.049,38.73,0.0387,ok
2026-04-21T13:45:51.201701,11,2.054,38.85,0.0388,ok
2026-04-21T13:45:52.388123,12,2.049,38.73,0.0387,ok
2026-04-21T13:45:53.573848,13,2.049,38.73,0.0387,ok
2026-04-21T13:45:54.759921,14,2.049,38.73,0.0387,ok
2026-04-21T13:45:55.946123,15,2.052,38.8,0.0388,ok
2026-04-21T13:45:57.131800,16,2.049,38.73,0.0387,ok
2026-04-21T13:45:58.318325,17,2.051,38.78,0.0388,ok
2026-04-21T13:45:59.504467,18,2.05,38.75,0.0387,ok
2026-04-21T13:46:00.689960,19,2.048,38.7,0.0387,ok
2026-04-21T13:46:01.876364,20,2.048,38.7,0.0387,ok
2026-04-21T13:46:03.062010,21,2.053,38.82,0.0388,ok
2026-04-21T13:46:04.248071,22,2.048,38.7,0.0387,ok
2026-04-21T13:46:05.434143,23,2.051,38.78,0.0388,ok
2026-04-21T13:46:06.620341,24,2.048,38.7,0.0387,ok
2026-04-21T13:46:07.806459,25,2.048,38.7,0.0387,ok
2026-04-21T13:46:08.992227,26,2.047,38.68,0.0387,ok
2026-04-21T13:46:10.178306,27,2.049,38.73,0.0387,ok
2026-04-21T13:46:11.364638,28,2.051,38.78,0.0388,ok
2026-04-21T13:46:12.550889,29,2.047,38.68,0.0387,ok
2026-04-21T13:46:13.736172,30,2.049,38.73,0.0387,ok
2026-04-21T13:46:14.922461,31,2.048,38.7,0.0387,ok
2026-04-21T13:46:16.108572,32,2.05,38.75,0.0387,ok
2026-04-21T13:46:17.294422,33,2.051,38.78,0.0388,ok
2026-04-21T13:46:18.480453,34,2.049,38.73,0.0387,ok
2026-04-21T13:46:19.666703,35,2.049,38.73,0.0387,ok
2026-04-21T13:46:20.852539,36,2.05,38.75,0.0387,ok
2026-04-21T13:46:22.039010,37,2.051,38.78,0.0388,ok
2026-04-21T13:46:23.224643,38,2.05,38.75,0.0387,ok
2026-04-21T13:46:24.410708,39,2.048,38.7,0.0387,ok
2026-04-21T13:46:25.596898,40,2.052,38.8,0.0388,ok
2026-04-21T13:46:26.783580,41,2.049,38.73,0.0387,ok
2026-04-21T13:46:27.969230,42,2.046,38.65,0.0386,ok
2026-04-21T13:46:29.155429,43,2.052,38.8,0.0388,ok
2026-04-21T13:46:30.341520,44,2.053,38.82,0.0388,ok
2026-04-21T13:46:31.527422,45,2.05,38.75,0.0387,ok
2026-04-21T13:46:32.712936,46,2.049,38.73,0.0387,ok
2026-04-21T13:46:33.899545,47,2.049,38.73,0.0387,ok
2026-04-21T13:46:35.084909,48,2.05,38.75,0.0387,ok
2026-04-21T13:46:36.270993,49,2.051,38.78,0.0388,ok
2026-04-21T13:46:37.457637,50,2.048,38.7,0.0387,ok
2026-04-21T13:46:38.643702,51,2.048,38.7,0.0387,ok
2026-04-21T13:46:39.829131,52,2.051,38.78,0.0388,ok
2026-04-21T13:46:41.015234,53,2.05,38.75,0.0387,ok
2026-04-21T13:46:42.201804,54,2.051,38.78,0.0388,ok
2026-04-21T13:46:43.387023,55,2.048,38.7,0.0387,ok
2026-04-21T13:46:44.573113,56,2.052,38.8,0.0388,ok
2026-04-21T13:46:45.759213,57,2.049,38.73,0.0387,ok
2026-04-21T14:10:05.495765,0,2.057,38.92,0.0389,ok
2026-04-21T14:10:06.682656,1,2.055,38.88,0.0389,ok
2026-04-21T14:10:07.868145,2,2.053,38.82,0.0388,ok
2026-04-21T14:10:09.054399,3,2.046,38.65,0.0386,ok
2026-04-21T14:10:10.239850,4,2.051,38.78,0.0388,ok
2026-04-21T14:10:11.426681,5,2.055,38.88,0.0389,ok
2026-04-21T14:10:12.612297,6,2.054,38.85,0.0388,ok
2026-04-21T14:10:13.798345,7,2.053,38.82,0.0388,ok
2026-04-21T14:10:14.984645,8,2.052,38.8,0.0388,ok
2026-04-21T14:10:16.170788,9,2.051,38.78,0.0388,ok
2026-04-21T14:10:17.356957,10,2.053,38.82,0.0388,ok
2026-04-21T14:10:18.542810,11,2.04,38.5,0.0385,ok
2026-04-21T14:10:19.729105,12,2.039,38.48,0.0385,ok
2026-04-21T14:10:20.915053,13,2.049,38.73,0.0387,ok
2026-04-21T14:10:22.100873,14,2.045,38.62,0.0386,ok
2026-04-21T14:10:23.286375,15,2.052,38.8,0.0388,ok
2026-04-21T14:10:24.472385,16,2.051,38.78,0.0388,ok
2026-04-21T14:10:25.659284,17,2.038,38.45,0.0384,ok
2026-04-21T14:10:26.844971,18,2.052,38.8,0.0388,ok
2026-04-21T14:10:28.030475,19,2.051,38.78,0.0388,ok
2026-04-21T14:10:29.217199,20,2.05,38.75,0.0387,ok
2026-04-21T14:10:30.402535,21,2.054,38.85,0.0388,ok
2026-04-21T14:10:31.588505,22,2.049,38.73,0.0387,ok
2026-04-21T14:10:32.775082,23,2.044,38.6,0.0386,ok
2026-04-21T14:10:33.961359,24,2.047,38.68,0.0387,ok
2026-04-21T14:10:35.146611,25,2.045,38.62,0.0386,ok
2026-04-21T14:10:36.332769,26,2.05,38.75,0.0387,ok
2026-04-21T14:10:37.518800,27,2.051,38.78,0.0388,ok
2026-04-21T14:10:38.704827,28,2.054,38.85,0.0388,ok
2026-04-21T14:10:39.890811,29,2.039,38.48,0.0385,ok
2026-04-21T14:10:41.076815,30,2.047,38.68,0.0387,ok
2026-04-21T14:10:42.262844,31,2.042,38.55,0.0385,ok
2026-04-21T14:10:43.448941,32,2.053,38.82,0.0388,ok
2026-04-21T14:10:44.635938,33,2.046,38.65,0.0386,ok
2026-04-21T14:10:45.820992,34,2.047,38.68,0.0387,ok
2026-04-21T14:10:47.006981,35,2.051,38.78,0.0388,ok
2026-04-21T14:10:48.193041,36,2.052,38.8,0.0388,ok
2026-04-21T14:10:49.379081,37,2.048,38.7,0.0387,ok
2026-04-21T14:10:50.565175,38,2.049,38.73,0.0387,ok
2026-04-21T14:10:51.751658,39,2.057,38.92,0.0389,ok
2026-04-21T14:10:52.937239,40,2.052,38.8,0.0388,ok
2026-04-21T14:10:54.123754,41,2.048,38.7,0.0387,ok
2026-04-21T14:10:55.309313,42,2.056,38.9,0.0389,ok
2026-04-21T14:10:56.495366,43,2.055,38.88,0.0389,ok
2026-04-21T14:10:57.681394,44,2.054,38.85,0.0388,ok
2026-04-21T14:10:58.868042,45,2.056,38.9,0.0389,ok
2026-04-21T14:11:00.053519,46,2.053,38.82,0.0388,ok
2026-04-21T14:11:01.239512,47,2.057,38.92,0.0389,ok
2026-04-21T14:11:02.425501,48,2.055,38.88,0.0389,ok
2026-04-21T14:11:03.611730,49,2.056,38.9,0.0389,ok
2026-04-21T14:11:04.797546,50,2.051,38.78,0.0388,ok
2026-04-21T14:11:05.983601,51,2.053,38.82,0.0388,ok
2026-04-21T14:11:07.169685,52,2.056,38.9,0.0389,ok
2026-04-21T14:11:08.356407,53,2.054,38.85,0.0388,ok
2026-04-21T14:11:09.541932,54,2.057,38.92,0.0389,ok
2026-04-21T14:11:10.727748,55,2.059,38.98,0.039,ok
2026-04-21T14:11:11.913871,56,2.053,38.82,0.0388,ok
2026-04-21T14:11:13.099945,57,2.054,38.85,0.0388,ok
2026-04-21T14:11:14.285986,58,2.048,38.7,0.0387,ok
2026-04-21T14:11:15.472040,59,2.05,38.75,0.0387,ok
2026-04-21T14:11:16.658116,60,2.056,38.9,0.0389,ok
2026-04-21T14:11:17.843971,61,2.049,38.73,0.0387,ok
2026-04-21T14:11:19.030568,62,2.059,38.98,0.039,ok
2026-04-21T14:11:20.216105,63,2.055,38.88,0.0389,ok
2026-04-21T14:11:21.402854,64,2.053,38.82,0.0388,ok
2026-04-21T14:11:22.588413,65,2.054,38.85,0.0388,ok
2026-04-21T14:11:23.774132,66,2.055,38.88,0.0389,ok
2026-04-21T14:11:24.960182,67,2.053,38.82,0.0388,ok
2026-04-21T14:11:26.146285,68,2.06,39.0,0.039,ok
2026-04-21T14:11:27.332358,69,2.055,38.88,0.0389,ok
2026-04-21T14:11:28.519193,70,2.057,38.92,0.0389,ok
2026-04-21T14:11:29.704537,71,2.056,38.9,0.0389,ok
2026-04-21T14:11:30.891077,72,2.054,38.85,0.0388,ok
2026-04-21T14:11:32.076948,73,2.055,38.88,0.0389,ok
2026-04-21T14:11:33.262485,74,2.053,38.82,0.0388,ok
2026-04-21T14:11:34.449253,75,2.055,38.88,0.0389,ok
2026-04-21T14:11:35.634666,76,2.057,38.92,0.0389,ok
2026-04-21T14:11:36.821301,77,2.057,38.92,0.0389,ok
2026-04-21T14:11:38.007433,78,2.054,38.85,0.0388,ok
2026-04-21T14:11:39.193379,79,2.056,38.9,0.0389,ok
2026-04-21T14:11:40.378698,80,2.056,38.9,0.0389,ok
2026-04-21T14:11:41.565482,81,2.058,38.95,0.0389,ok
2026-04-21T14:11:42.750945,82,2.057,38.92,0.0389,ok
2026-04-21T14:11:43.937078,83,2.056,38.9,0.0389,ok
2026-04-21T14:11:45.123077,84,2.056,38.9,0.0389,ok
2026-04-21T14:11:46.309706,85,2.053,38.82,0.0388,ok
2026-04-21T14:11:47.494886,86,2.051,38.78,0.0388,ok
2026-04-21T14:11:48.681459,87,2.05,38.75,0.0387,ok
2026-04-21T14:11:49.866936,88,2.055,38.88,0.0389,ok
2026-04-21T14:11:51.053194,89,2.055,38.88,0.0389,ok
2026-04-21T14:11:52.239238,90,2.055,38.88,0.0389,ok
2026-04-21T14:11:53.425189,91,2.056,38.9,0.0389,ok
